Project_ID,Site_Location,Material_Type,Vendor_Name,Order_Date,Promised_Delivery_Date,Actual_Delivery_Date,Estimated_Cost_INR,Actual_Cost_INR,Quantity_Ordered_Tons,Quality_Pass,Delivery_Delay_Days,Cost_Variance_INR,Cost_Variance_Pct
PRJ-021,Mumbai,Tiles,Shree Cement Co,2024-11-24,2024-12-06,2024-12-03,245090.81,251536.45,7.1,Yes,-3,6445.640000000014,2.63
PRJ-022,Pune,Bricks,Apex Supplies,2024-05-14,2024-05-24,2024-05-24,135988.77,140532.93,21.2,Yes,0,4544.1600000000035,3.34
PRJ-023,Mumbai,Wood,Shree Cement Co,2024-11-23,2024-12-07,2024-12-12,112401.75,108576.05,2.3,Yes,5,-3825.699999999997,-3.4
PRJ-024,Delhi,Wood,UltraTech Supply,2024-10-03,2024-10-19,2024-10-24,482962.24,480980.77,9.9,Yes,5,-1981.469999999972,-0.41
PRJ-025,Chennai,Sand,Bharat Building Materials,2024-01-10,2024-01-16,2024-01-18,18890.92,19770.27,10.3,Yes,2,879.3500000000022,4.65
PRJ-026,Delhi,Steel,Apex Supplies,2024-05-03,2024-05-19,2024-05-18,1197173.39,1192293.2,19.0,Yes,-1,-4880.189999999944,-0.41
PRJ-027,Bengaluru,Wood,BuildCorp,2024-09-29,2024-10-15,2024-10-20,196953.55,222370.07,4.2,Yes,5,25416.52000000002,12.9
PRJ-028,Bengaluru,Heavy Equipment,UltraTech Supply,2024-05-15,2024-06-06,2024-06-12,608760.14,599680.28,4.1,Yes,6,-9079.859999999986,-1.49
PRJ-029,Pune,Heavy Equipment,Metro Infra,2024-06-08,2024-06-29,2024-07-04,385909.29,416152.42,2.6,Yes,5,30243.130000000005,7.84
PRJ-030,Chennai,Bricks,BuildCorp,2024-05-06,2024-05-13,2024-05-17,210172.01,230722.04,31.6,Yes,4,20550.03,9.78
PRJ-031,Chennai,Heavy Equipment,Metro Infra,2024-10-28,2024-11-16,2024-11-16,243070.72,262726.1,1.6,Yes,0,19655.379999999976,8.09
PRJ-032,Hyderabad,Cement,Metro Infra,2024-02-04,2024-02-10,2024-02-15,187499.61,198656.52,24.6,Yes,5,11156.910000000003,5.95
PRJ-033,Pune,Sand,Bharat Building Materials,2024-04-19,2024-04-29,2024-04-28,64697.5,64182.09,36.1,Yes,-1,-515.4100000000035,-0.8
PRJ-034,Chennai,Heavy Equipment,Bharat Building Materials,2024-05-04,2024-05-28,2024-06-01,218674.29,227620.87,1.5,Yes,4,8946.579999999987,4.09
PRJ-035,Pune,Cement,BuildCorp,2024-08-08,2024-08-16,2024-08-25,120061.71,135982.53,16.0,Yes,9,15920.819999999992,13.26
PRJ-036,Hyderabad,Cement,BuildCorp,2024-02-01,2024-02-10,2024-02-18,102197.51,114506.6,13.7,Yes,8,12309.090000000011,12.04
PRJ-037,Mumbai,Steel,Metro Infra,2024-04-07,2024-04-23,2024-04-30,483410.92,504284.66,8.0,Yes,7,20873.73999999999,4.32
PRJ-038,Pune,Sand,Bharat Building Materials,2024-05-07,2024-05-19,2024-05-17,33419.97,35246.36,18.1,Yes,-2,1826.3899999999994,5.46
PRJ-039,Chennai,Cement,Apex Supplies,2024-11-29,2024-12-09,2024-12-07,208546.68,219869.46,27.2,No,-2,11322.779999999999,5.43
PRJ-040,Pune,Steel,Konkan Aggregates,2024-09-05,2024-09-20,2024-09-24,450568.27,470009.11,7.1,No,4,19440.839999999967,4.31
PRJ-041,Mumbai,Steel,Konkan Aggregates,2024-01-02,2024-01-17,2024-01-22,1320247.96,1353835.44,20.8,No,5,33587.47999999998,2.54
PRJ-042,Bengaluru,Sand,Konkan Aggregates,2024-10-11,2024-10-22,2024-10-30,27444.56,28382.3,15.5,Yes,8,937.739999999998,3.42
PRJ-043,Delhi,Steel,Apex Supplies,2024-10-23,2024-11-09,2024-11-15,1330180.27,1317618.27,21.0,Yes,6,-12562.0,-0.94
PRJ-044,Delhi,Cement,Apex Supplies,2024-10-26,2024-11-04,2024-11-10,170898.92,172226.57,22.9,No,6,1327.6499999999942,0.78
PRJ-045,Chennai,Steel,Apex Supplies,2024-09-17,2024-09-29,2024-09-29,343817.2,366314.11,5.6,Yes,0,22496.909999999974,6.54
PRJ-046,Mumbai,Tiles,Metro Infra,2024-07-25,2024-08-04,2024-08-13,217244.65,233807.71,6.2,Yes,9,16563.059999999998,7.62
PRJ-047,Chennai,Cement,BuildCorp,2024-08-02,2024-08-13,2024-08-25,136507.74,155208.72,17.7,Yes,12,18700.98000000001,13.7
PRJ-048,Delhi,Sand,Metro Infra,2024-06-09,2024-06-16,2024-06-20,40673.28,42465.76,22.6,Yes,4,1792.4800000000032,4.41
PRJ-049,Hyderabad,Tiles,Shree Cement Co,2024-08-22,2024-09-03,2024-08-31,193956.54,195656.6,5.7,Yes,-3,1700.0599999999977,0.88
PRJ-050,Chennai,Heavy Equipment,BuildCorp,2024-02-07,2024-02-29,2024-03-06,510871.58,552912.08,3.5,Yes,6,42040.49999999994,8.23
