Project_ID,Site_Location,Material_Type,Vendor_Name,Order_Date,Promised_Delivery_Date,Actual_Delivery_Date,Estimated_Cost_INR,Actual_Cost_INR,Quantity_Ordered_Tons,Quality_Pass
PRJ-031,Chennai,Heavy Equipment,Metro Infra,2024-10-28,2024-11-16,2024-11-16,243070.72,262726.1,1.6,Yes
PRJ-032,Hyderabad,Cement,Metro Infra,2024-02-04,2024-02-10,2024-02-15,187499.61,198656.52,24.6,Yes
PRJ-033,Pune,Sand,Bharat Building Materials,2024-04-19,2024-04-29,2024-04-28,64697.5,64182.09,36.1,Yes
PRJ-034,Chennai,Heavy Equipment,Bharat Building Materials,2024-05-04,2024-05-28,2024-06-01,218674.29,227620.87,1.5,Yes
PRJ-035,Pune,Cement,BuildCorp,2024-08-08,2024-08-16,2024-08-25,120061.71,135982.53,16.0,Yes
PRJ-036,Hyderabad,Cement,BuildCorp,2024-02-01,2024-02-10,2024-02-18,102197.51,114506.6,13.7,Yes
PRJ-037,Mumbai,Steel,Metro Infra,2024-04-07,2024-04-23,2024-04-30,483410.92,504284.66,8.0,Yes
PRJ-038,Pune,Sand,Bharat Building Materials,2024-05-07,2024-05-19,2024-05-17,33419.97,35246.36,18.1,Yes
PRJ-039,Chennai,Cement,Apex Supplies,2024-11-29,2024-12-09,2024-12-07,208546.68,219869.46,27.2,No
PRJ-040,Pune,Steel,Konkan Aggregates,2024-09-05,2024-09-20,2024-09-24,450568.27,470009.11,7.1,No
PRJ-041,Mumbai,Steel,Konkan Aggregates,2024-01-02,2024-01-17,2024-01-22,1320247.96,1353835.44,20.8,No
PRJ-042,Bengaluru,Sand,Konkan Aggregates,2024-10-11,2024-10-22,2024-10-30,27444.56,28382.3,15.5,Yes
PRJ-043,Delhi,Steel,Apex Supplies,2024-10-23,2024-11-09,2024-11-15,1330180.27,1317618.27,21.0,Yes
PRJ-044,Delhi,Cement,Apex Supplies,2024-10-26,2024-11-04,2024-11-10,170898.92,172226.57,22.9,No
PRJ-045,Chennai,Steel,Apex Supplies,2024-09-17,2024-09-29,2024-09-29,343817.2,366314.11,5.6,Yes
PRJ-046,Mumbai,Tiles,Metro Infra,2024-07-25,2024-08-04,2024-08-13,217244.65,233807.71,6.2,Yes
PRJ-047,Chennai,Cement,BuildCorp,2024-08-02,2024-08-13,2024-08-25,136507.74,155208.72,17.7,Yes
PRJ-048,Delhi,Sand,Metro Infra,2024-06-09,2024-06-16,2024-06-20,40673.28,42465.76,22.6,Yes
PRJ-049,Hyderabad,Tiles,Shree Cement Co,2024-08-22,2024-09-03,2024-08-31,193956.54,195656.6,5.7,Yes
PRJ-050,Chennai,Heavy Equipment,BuildCorp,2024-02-07,2024-02-29,2024-03-06,510871.58,552912.08,3.5,Yes
